METHOD,LR,VALUE
momentum,0.01,0.251353
momentum,0.01,0.213263
momentum,0.01,0.207245
momentum,0.01,0.206336
momentum,0.01,0.206159
momentum,0.01,0.206112
momentum,0.01,0.206102
momentum,0.01,0.206099
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
momentum,0.01,0.206098
