method,learning_rate,value
momentum,0.01,0.943145
momentum,0.01,0.941851
momentum,0.01,0.941285
momentum,0.01,0.941134
momentum,0.01,0.941037
momentum,0.01,0.941012
momentum,0.01,0.941006
momentum,0.01,0.941004
momentum,0.01,0.941003
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.068,0.942512
momentum,0.068,0.941474
momentum,0.068,0.941115
momentum,0.068,0.941044
momentum,0.068,0.941012
momentum,0.068,0.941006
momentum,0.068,0.941003
momentum,0.068,0.941003
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
