method,learning_rate,value
momentum,0.01,0.348198
momentum,0.01,0.330918
momentum,0.01,0.328523
momentum,0.01,0.327928
momentum,0.01,0.327803
momentum,0.01,0.32778
momentum,0.01,0.327774
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.068,0.328352
momentum,0.068,0.327781
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.126,0.327806
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.184,0.327774
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
adam,0.01,0.330332
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.068,0.327777
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.068,0.327773
adam,0.126,0.327775
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
adam,0.126,0.327773
