method,learning_rate,value
momentum,0.01,0.328969
momentum,0.01,0.215806
momentum,0.01,0.166308
momentum,0.01,0.136177
momentum,0.01,0.0771334
momentum,0.01,0.0711076
momentum,0.01,0.060906
momentum,0.01,0.0584777
momentum,0.01,0.0524085
momentum,0.01,0.0484146
momentum,0.01,0.0469029
momentum,0.01,0.0468192
momentum,0.01,0.0460908
momentum,0.01,0.0451169
momentum,0.01,0.0450831
momentum,0.01,0.0449907
momentum,0.01,0.0448259
momentum,0.01,0.0446813
momentum,0.01,0.0446565
momentum,0.01,0.0446257
momentum,0.01,0.0445984
momentum,0.01,0.0445849
momentum,0.01,0.0445723
momentum,0.01,0.0445668
momentum,0.01,0.0445639
momentum,0.01,0.0445623
momentum,0.01,0.0445593
momentum,0.01,0.0445588
momentum,0.01,0.044558
momentum,0.01,0.0445576
momentum,0.01,0.044557
momentum,0.01,0.0445569
momentum,0.01,0.0445567
momentum,0.01,0.0445566
momentum,0.01,0.0445565
momentum,0.01,0.0445565
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.01,0.0445564
momentum,0.0234034731932,0.328969
momentum,0.0234034731932,0.383836
momentum,0.0234034731932,0.266415
momentum,0.0234034731932,0.122743
momentum,0.0234034731932,0.0756146
momentum,0.0234034731932,0.0608369
momentum,0.0234034731932,0.0517871
momentum,0.0234034731932,0.0478001
momentum,0.0234034731932,0.0460986
