method,learning_rate,value
momentum,0.01,0.346854
momentum,0.01,0.33119
momentum,0.01,0.328671
momentum,0.01,0.327988
momentum,0.01,0.327815
momentum,0.01,0.327783
momentum,0.01,0.327775
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.01,0.327773
momentum,0.068,0.328721
momentum,0.068,0.327788
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.068,0.327773
momentum,0.126,0.32784
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.126,0.327773
momentum,0.184,0.327777
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.184,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.242,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
momentum,0.3,0.327773
adam,0.01,0.328685
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
adam,0.01,0.327773
