method,learning_rate,value
momentum,0.01,1.10322
momentum,0.01,1.06091
momentum,0.01,0.924434
momentum,0.01,0.821073
momentum,0.01,0.754801
momentum,0.01,0.709605
momentum,0.01,0.681638
momentum,0.01,0.668175
momentum,0.01,0.661178
momentum,0.01,0.657381
momentum,0.01,0.656084
momentum,0.01,0.65516
momentum,0.01,0.654528
momentum,0.01,0.654063
momentum,0.01,0.653776
momentum,0.01,0.653631
momentum,0.01,0.653552
momentum,0.01,0.653515
momentum,0.01,0.653497
momentum,0.01,0.653489
momentum,0.01,0.653483
momentum,0.01,0.653479
momentum,0.01,0.653476
momentum,0.01,0.653474
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.01,0.653473
momentum,0.0234034731932,1.10322
momentum,0.0234034731932,0.866795
momentum,0.0234034731932,0.729398
momentum,0.0234034731932,0.690184
momentum,0.0234034731932,0.666707
momentum,0.0234034731932,0.65827
momentum,0.0234034731932,0.655683
momentum,0.0234034731932,0.654241
momentum,0.0234034731932,0.653798
momentum,0.0234034731932,0.653615
momentum,0.0234034731932,0.653515
momentum,0.0234034731932,0.653494
momentum,0.0234034731932,0.653481
momentum,0.0234034731932,0.653476
momentum,0.0234034731932,0.653474
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0234034731932,0.653473
momentum,0.0547722557505,1.10322
momentum,0.0547722557505,0.661232
momentum,0.0547722557505,0.655124
momentum,0.0547722557505,0.653704
momentum,0.0547722557505,0.653512
momentum,0.0547722557505,0.653479
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
momentum,0.0547722557505,0.653473
