method,learning_rate,value
momentum,0.01,0.948286
momentum,0.01,0.941717
momentum,0.01,0.941113
momentum,0.01,0.941023
momentum,0.01,0.941008
momentum,0.01,0.941004
momentum,0.01,0.941003
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.01,0.941002
momentum,0.068,0.94125
momentum,0.068,0.941034
momentum,0.068,0.941008
momentum,0.068,0.941004
momentum,0.068,0.941003
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.068,0.941002
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.126,nan
momentum,0.184,nan
momentum,0.184,nan
momentum,0.184,nan
momentum,0.184,nan
momentum,0.184,nan
momentum,0.184,nan
momentum,0.184,nan
momentum,0.184,nan
momentum,0.184,nan
momentum,0.184,nan
momentum,0.184,nan
momentum,0.184,nan
momentum,0.184,nan
momentum,0.184,nan
momentum,0.184,nan
momentum,0.184,nan
